PARTICIPANT	SESSION_TIMESTAMP	TRIAL_N	CURRENT_TRIAL	TRIAL_TYPE	TRIAL_START_TIME	FIXATION_ONSET_TIME	STIM_ONSET_TIME	MASK_ONSET_TIME	RESPONSE_GIVEN_TIME	RT_REL_STIM_ONSET	RT_REL_MASK_ONSET	ACCURACY	TIMEOUT
S01	2021-01-13 18:19:51	186	NG	NON_BLINK	1610562290.3680599	1610562290.378059	1610562290.7880595	1610562290.9981608	1610562291.0860584	0.29799890518188477	0.08789753913879395	0	0
S01	2021-01-13 18:19:51	187	G	NON_BLINK	1610562291.4970584	1610562291.505058	1610562291.9130576	1610562292.1230574	1610562292.2740571	0.36099958419799805	0.1509997844696045	1	0
S01	2021-01-13 18:19:51	188	G	NON_BLINK	1610562292.2750573	1610562292.2830584	1610562292.7920587	1610562293.0020585	1610562293.6090555	0.8169968128204346	0.606997013092041	1	0
S01	2021-01-13 18:19:51	189	G	NON_BLINK	1610562293.6090555	1610562293.6170578	1610562294.0260572	1610562294.2370577	1610562294.4570558	0.4309985637664795	0.21999812126159668	1	0
S01	2021-01-13 18:19:51	190	G	BLINK	1610562294.4570558	1610562296.4760556	1610562296.8860552	1610562297.0950537	1610562297.2260532	0.3399980068206787	0.13099956512451172	1	0
S01	2021-01-13 18:19:51	191	G	NON_BLINK	1610562297.2260532	1610562297.2350535	1610562297.7450542	1610562297.9560535	1610562298.4910538	0.7459995746612549	0.5350003242492676	1	0
S01	2021-01-13 18:19:51	192	G	NON_BLINK	1610562298.4910538	1610562298.5007074	1610562299.011058	1610562299.2220588	1610562299.4240582	0.41300010681152344	0.20199942588806152	1	0
S01	2021-01-13 18:19:51	193	G	NON_BLINK	1610562299.4240582	1610562299.4320593	1610562300.0430586	1610562300.253059	1610562300.4930582	0.4499995708465576	0.23999929428100586	1	0
S01	2021-01-13 18:19:51	194	G	NON_BLINK	1610562300.4930582	1610562300.502057	1610562301.1110563	1610562301.3190584	1610562301.4610567	0.35000038146972656	0.141998291015625	1	0
S01	2021-01-13 18:19:51	195	G	BLINK	1610562301.4610567	1610562303.4790573	1610562304.0890553	1610562304.2980547	1610562304.5210547	0.43199944496154785	0.22300004959106445	1	0
