Unnamed: 0,Trial,T1,T2,Lag,PosT1,PosT2,Respuesta T1,Respuesta T2,Correcto T1,Correcto T2,Reaction Time T1,Reaction Time T2,condition,group
54,55,2,5,5,6,3,2,5,1,1,2.047482700000046,0.2864409999999679,a,psilo
55,56,2,9,6,6,1,2,9,1,1,1.143940300000054,0.3863112999999885,a,psilo
56,57,3,2,5,9,3,3,2,1,1,0.7295021999999562,0.2572109999999838,a,psilo
57,58,2,4,7,6,1,2,4,1,1,0.9163147000000436,0.2123927000000094,a,psilo
58,59,3,5,6,6,1,3,5,1,1,1.4279830000000402,0.3700913999999784,a,psilo
59,60,8,9,2,6,3,8,9,1,1,0.9570403000000168,0.2482622999999648,a,psilo
60,61,4,8,2,6,3,4,8,1,1,1.359521000000086,0.4411672999999609,a,psilo
61,62,7,6,5,6,1,7,6,1,1,1.011342999999897,0.3751975000000129,a,psilo
62,63,2,6,6,9,3,2,6,1,1,1.1708525000000236,0.5984757999999601,a,psilo
63,64,3,9,5,9,3,3,9,1,1,0.8660016999999698,0.5538145000000441,a,psilo
64,65,7,4,7,9,3,2,4,0,1,1.4507202999999436,0.377171399999952,a,psilo
65,66,7,3,5,9,1,3,8,0,0,2.4365611000000627,0.48112679999997,a,psilo
66,67,7,3,6,6,3,7,3,1,1,1.420524500000056,0.2518364999999676,a,psilo
67,68,6,5,4,9,1,6,5,1,1,0.9225856000000476,0.1814090999999962,a,psilo
68,69,7,3,6,9,3,7,3,1,1,1.0218972000000122,0.2414026000000149,a,psilo
69,70,7,3,6,9,1,7,3,1,1,0.6353560000000016,0.1823182000000542,a,psilo
70,71,6,2,1,9,3,6,2,1,1,0.8528634000000466,0.5031773000000612,a,psilo
71,72,7,4,2,6,1,4,5,0,0,1.680811399999925,0.3244460999999319,a,psilo
72,73,7,4,5,9,3,4,4,0,1,1.7767721000000165,0.2393897999999126,a,psilo
73,74,7,4,3,9,1,7,2,1,0,2.1775850999999875,0.7373844999999619,a,psilo
74,75,9,2,3,6,3,9,8,1,0,1.1332677999999987,0.2588802000000214,a,psilo
75,76,7,6,3,6,1,7,5,1,0,1.6249950000000126,0.3326342000000295,a,psilo
76,77,9,8,3,6,1,9,8,1,1,0.901481199999921,0.2094841000000542,a,psilo
77,78,5,7,7,6,3,5,7,1,1,1.3022677999999814,0.4490002000000004,a,psilo
78,79,2,6,3,6,1,2,6,1,1,1.3346220000000812,0.4104747000000088,a,psilo
79,80,3,2,5,6,1,3,2,1,1,0.7967159999999467,0.3125307999999904,a,psilo
80,81,2,3,2,6,1,2,3,1,1,0.9278229999999894,0.2469323000000258,a,psilo
81,82,4,7,2,6,3,4,7,1,1,0.9610964000000876,0.3921998000000712,a,psilo
82,83,8,7,7,6,1,8,7,1,1,0.9215331999999988,0.350242900000012,a,psilo
83,84,9,3,1,9,1,9,3,1,1,1.2245180999999548,0.2685763000000634,a,psilo
84,85,2,5,5,6,3,2,5,1,1,1.1346459000000095,0.3627314000000297,a,psilo
85,86,2,4,3,6,1,4,7,0,0,1.7480189000000337,1.031434900000022,a,psilo
86,87,7,2,4,6,1,7,2,1,1,1.3109837999999172,0.2635764000000336,a,psilo
87,88,2,5,5,9,1,2,5,1,1,1.0100128000000268,0.3803019000000631,a,psilo
88,89,4,2,7,9,3,4,2,1,1,1.0987554999999247,0.3494786999999633,a,psilo
89,90,4,9,1,9,3,4,9,1,1,1.865512400000057,0.181229999999914,a,psilo
